Year,Month,Index
2020,7,408.24
2020,8,413.34
2020,9,420.37
2020,10,424.96
2020,11,430.37
2020,12,434.88
2021,1,440.4
2021,2,450.57
2021,3,462.92
2021,4,477.1
2021,5,488.45
2021,6,502.18
2021,7,510.99
2021,8,517.08
2021,9,519.35
2021,10,524.59
2021,11,530.59
2021,12,535.17
2022,1,541.58
2022,2,556.88
2022,3,574.59
2022,4,586.2
2022,5,592.49
2022,6,587.34
2022,7,580.28
2022,8,567.51
2022,9,564.29
2022,10,564.41
2022,11,555.95
2022,12,548.31
2023,1,549.3
2023,2,563.19
2023,3,561.71
2023,4,572.54
2023,5,573.97
2023,6,578.92
2023,7,583.91
2023,8,580.01
2023,9,583.05
2023,10,581.7
2023,11,579.39
2023,12,578.52
2024,1,579.53
2024,2,587.19
2024,3,594.61
2024,4,602.75
2024,5,604.84
2024,6,600.83
2024,7,602.37
2024,8,600.89
2024,9,606.64
2024,10,601.76
2024,11,600.79
2024,12,607.44
2025,1,602.87
2025,2,608.77
2025,3,610.25
2025,4,610.21
2025,5,616.23
2025,6,611.88
2025,7,610.47
2025,8,608.92
2025,9,602.32
2025,10,603.81
2025,11,601.61
2025,12,604.9
2026,1,603.95
