Year,Month,Index
2020,7,293.09
2020,8,296.91
2020,9,300.46
2020,10,303.71
2020,11,305.77
2020,12,307.83
2021,1,310.76
2021,2,315.41
2021,3,322.66
2021,4,330.06
2021,5,337.43
2021,6,343.98
2021,7,348.42
2021,8,350.8
2021,9,353.13
2021,10,355.95
2021,11,358.89
2021,12,361.53
2022,1,366.06
2022,2,373.78
2022,3,381.61
2022,4,389.64
2022,5,395.44
2022,6,396.81
2022,7,393.84
2022,8,390.06
2022,9,389.63
2022,10,388.35
2022,11,386.06
2022,12,383.76
2023,1,384.15
2023,2,389.62
2023,3,394.79
2023,4,400.75
2023,5,406.16
2023,6,409.02
2023,7,411.08
2023,8,411.47
2023,9,412.26
2023,10,411.94
2023,11,410.83
2023,12,409.52
2024,1,408.93
2024,2,416.6
2024,3,421.08
2024,4,426.72
2024,5,429.84
2024,6,431.05
2024,7,430.66
2024,8,429.81
2024,9,431.25
2024,10,431.03
2024,11,430.37
2024,12,429.74
2025,1,430.24
2025,2,434.06
2025,3,438.03
2025,4,441.0
2025,5,443.52
2025,6,443.47
2025,7,441.6
2025,8,441.08
2025,9,439.48
2025,10,439.12
2025,11,439.53
2025,12,438.05
2026,1,437.33
