frame,model,n,baseline_slope,updated_slope,delta_slope,baseline_r,updated_r,delta_r,baseline_p,updated_p
df,House_USA_vs_CPIInfl,381,1.222356956333531,1.1691981577170885,-0.05315879861644257,0.3536515430175919,0.3430944797271477,-0.010557063290444202,1.148460672508377e-12,5.777693292281567e-12
df,House_Mountain_vs_CPIInfl,381,1.7394762044850094,1.7031660611489234,-0.036310143336085954,0.3527556308863729,0.34512168610950983,-0.0076339447768630775,1.320335298182304e-12,4.256551426607961e-12
df,House_Mountain_vs_House_USA,381,1.2843034366900656,1.3009221977029877,0.016618761012922034,0.9002136598310818,0.8983404829236676,-0.0018731769074141758,6.5276377465684374e-139,1.8410627438504953e-137
df,Mortgage_vs_CPIInfl,381,0.20893978411052347,0.20923118274568486,0.00029139863516139397,0.17683105548485775,0.17706626997773947,0.00023521449288171903,0.0005250732492679465,0.0005159906652656823
df,House_USA_vs_Mortgage,381,-0.600067434595685,-0.5757265969707931,0.02434083762489192,-0.2051351908390429,-0.19963306406381617,0.00550212677522674,5.4858196678084486e-05,8.729284383586238e-05
df1,Mortgage_vs_CPIInfl,619,0.6448538170370898,0.6450263309518193,0.00017251391472949962,0.5881291810124875,0.5881619806169164,3.27996044289236e-05,7.292642033766545e-59,7.160740837867582e-59
df2,House_Boulder_vs_CPIInfl,179,0.6850245601054302,0.6859526256617474,0.0009280655563171925,0.33522223447386035,0.33710317730879424,0.0018809428349338964,4.497209457956992e-06,3.943806467298639e-06
df2,House_Colorado_vs_CPIInfl,179,0.751799260803406,0.7448748944113408,-0.006924366392065173,0.3886700100304158,0.38705069115274726,-0.0016193188776685297,7.593886972081489e-08,8.689380179940556e-08
df2,House_Boulder_vs_House_Colorado,179,0.9297380320052738,0.9366195857257623,0.006881553720488487,0.8800515933717337,0.8858240104694199,0.005772417097686278,3.865133082351724e-59,6.40546206173722e-61
df2,Mortgage_vs_CPIInfl,179,0.7277052495412268,0.7279694323633055,0.0002641828220786291,0.6070613951160272,0.6071250703114577,6.367519543049038e-05,2.0972646600988874e-19,2.074450132820167e-19
df2,House_Boulder_vs_Mortgage,179,0.10551797411514485,0.1032296895237834,-0.0022882845913614475,0.06189791364325643,0.06082867002295613,-0.0010692436203003017,0.41043660008645494,0.418584177484696
