Year,CPI,HousingIndex_USA,HousingIndex_Mountain,Mortgage_Rate,Consumer_Inflation_Rate,House_Inflation_Rate_USA,House_Inflation_Rate_Mountain
1991.0833333333333,134.7,100.0,100.0,9.64,0.8908685968821217,5.519999999999925,-14.400000000000013
1991.1666666666667,134.8,100.46,98.8,9.37,0.0,0.23890105514645654,22.95546558704462
1991.25,134.8,100.48,100.69,9.5,2.670623145400519,-1.6719745222930182,-3.575330221471873
1991.3333333333333,135.1,100.34,100.39,9.49,4.44115470022215,0.5979669124975828,1.4344058173126228
1991.4166666666667,135.6,100.39,100.51,9.47,3.5398230088497407,1.4344058173126228,12.416674957715657
1991.5,136.0,100.51,101.55,9.62,1.764705882352935,0.4775644214504382,-2.127031019202219
1991.5833333333333,136.2,100.55,101.37,9.58,3.5242290748898952,-2.0288413724515397,-1.3021604024859634
1991.6666666666667,136.6,100.38,101.26,9.24,3.5139092240117797,2.8690974297669314,6.162354335374243
1991.75,137.0,100.62,101.78,9.01,1.751824817518166,3.697078115682828,8.842601689919327
1991.8333333333333,137.2,100.93,102.53,8.86,5.247813411078894,5.9447141583274465,14.161708768165404
1991.9166666666667,137.8,101.43,103.74,8.71,3.4833091436864194,5.323868677905708,-0.9253903990745993
1992.0,138.2,101.88,103.66,8.5,0.8683068017369067,4.240282685512398,9.376808797993519
1992.0833333333333,138.3,102.24,104.47,8.43,2.672605790645899,2.2399999999999975,4.469999999999996
1992.1666666666667,138.6,102.97,105.54,8.76,2.8189910979228294,2.498506868405337,6.821862348178143
1992.25,139.1,102.82,105.99,8.94,3.189910979228472,2.32882165605095,5.263680603833554
1992.3333333333333,139.4,102.57,105.92,8.85,3.1828275351591495,2.222443691449061,5.508516784540296
1992.4166666666667,139.7,102.59,106.32,8.67,3.0235988200590036,2.1914533320051888,5.780519351308322
1992.5,140.1,102.53,106.97,8.51,3.0147058823529305,2.0097502736046158,5.337272279665184
1992.5833333333333,140.5,102.87,107.27,8.13,3.1571218795888534,2.3073097961213485,5.820262405050802
1992.6666666666667,140.8,103.33,107.98,7.98,3.0746705710102518,2.9388324367403795,6.636381591941531
1992.75,141.1,103.72,108.44,7.92,2.9927007299270114,3.0808984297356234,6.543525250540383
1992.8333333333333,141.7,104.04,109.54,8.09,3.279883381924198,3.0813435053997917,6.837023310250667
1992.9166666666667,142.1,104.31,110.15,8.31,3.1204644412191396,2.839396628216506,6.178908810487771
1993.0,142.3,104.22,111.17,8.22,2.966714905933454,2.29681978798586,7.244838896392047
1993.0833333333333,142.8,104.27,111.87,8.02,3.2537960954446943,1.9855242566510167,7.0833732171915464
1993.1666666666667,143.1,104.07,112.29,7.68,3.2467532467532534,1.0682723123239812,6.395679363274587
1993.25,143.3,104.39,112.55,7.5,3.0194104960460155,1.5269402839914514,6.189263138031897
1993.3333333333333,143.8,105.03,113.93,7.47,3.1563845050215145,2.3983620941795847,7.562311178247749
1993.4166666666667,144.2,105.27,114.71,7.47,3.2211882605583497,2.6123403840530246,7.891271632806629
1993.5,144.3,105.62,115.65,7.42,2.9978586723768963,3.0137520725641354,8.114424605029447
1993.5833333333333,144.5,105.68,116.62,7.21,2.8469750889679624,2.7316029940701814,8.71632329635501
