Year,Mortgage_Rate,Consumer_Inflation_Rate,House_Inflation_Rate_Colorado,House_Inflation_Rate_Denver,House_Inflation_Rate_Boulder,House_Inflation_Rate_USA,House_Inflation_Rate_Mountain,cluster
1991.25,9.5,4.821150855365497,2.9367766317612842,2.7797276428471074,3.4845903670435163,0.0,-0.8369868473494524,0
1991.5,9.62,4.695919938414161,3.4148628584824703,3.406562847608452,4.420233463035017,-0.7104094721261944,-8.110490743461574,0
1991.75,9.01,3.396226415094339,3.542086498217323,3.2129067843353454,6.193868070610087,2.4866785079927567,11.658488714425896,0
1992.0,8.5,2.980625931445613,5.1381258221775195,4.2959099643151255,7.676953784738227,0.35242290748893623,6.127757972829606,0
1992.25,8.94,3.189910979228472,5.354137983784613,5.600327824067763,6.539958096378329,2.304559451673782,5.151454762853724,0
1992.5,8.51,3.0147058823529305,6.369956173492519,5.835686432701337,10.731852735131909,2.002960039467183,5.299245763541971,0
1992.75,7.92,2.9927007299270114,7.71764353619282,7.588510354041422,10.644502770487009,3.0590092757055487,6.683022571148167,0
1993.0,8.21,2.966714905933454,7.875174799440643,7.579944729569688,11.664052473976906,2.2613803230543184,7.100876770401765,0
1993.25,7.5,3.0194104960460155,8.370843618411495,7.579873237614798,13.190054782975146,1.4758714438295018,6.149909978205237,0
1993.5,7.42,2.9978586723768963,8.645307949136871,7.749968237835092,11.683941311078193,3.056684078158267,8.13023255813954,0
1993.75,6.92,2.7639971651311157,9.312022237665051,8.24537439463553,13.086452293094375,2.661815396399847,9.92548983534174,0
1994.0,7.17,2.8109627547435068,9.981578767824239,8.917431192660551,12.705912399438123,3.1495309209266686,9.553796329614972,0
1994.25,7.68,2.6517794836008246,11.134186373685262,9.9915835036672,14.916852817076197,3.8178164768921663,11.123013747545096,0
1994.5,8.4,2.494802494802495,13.44971884399111,12.522108241952612,16.78920091599374,3.4728740379200262,10.745010323468684,0
1994.75,8.64,2.965517241379323,13.095994914176723,11.98806928989331,15.476051742221198,3.049804141018453,9.171548117154815,0
1995.0,9.2,2.597402597402576,11.240694789081896,10.265049415992822,12.497167459777936,2.422273781902562,8.227952044670728,0
1995.25,8.46,2.7872195785180187,10.121164627162592,9.313511149978137,7.991360691144722,2.3778801843318043,6.635604113110549,0
1995.5,7.57,3.0425963488843744,7.330989568324586,6.7169653148904995,6.233230134158929,2.3494194484760644,5.670783811077462,0
1995.75,7.64,2.54521098459477,6.767847105115221,6.228231919688576,5.005550509637691,2.7966331794732513,5.656906331442579,0
1996.0,7.2,2.5316455696202667,7.545170644657606,7.313098390710926,5.94218954577499,2.9811525915186765,4.999999999999982,0
1996.25,7.62,2.8439153439153486,6.886358659951819,6.2999999999999945,5.800000000000005,3.2679150162045367,5.371402742202802,0
1996.5,8.32,2.8215223097112663,6.148311228051351,5.616653574234087,3.7011851564017872,3.119737658424171,4.366683819745654,0
1996.75,8.23,3.0045721750489918,5.280614931030847,4.966248794599792,2.9601153291686666,2.7293537594647033,3.772489843296567,0
1997.0,7.6,3.378817413905133,5.060928182525282,4.878511769172356,4.401559083563078,2.6924769027716566,3.0421273213382616,0
1997.25,7.9,2.7652733118971096,4.896036054491448,5.39981185324554,3.9035916824196715,2.615290733153164,3.331665117609206,0
1997.5,7.69,2.233567326100827,4.957507082152968,5.5968761621420615,4.2903981264637014,2.7331327889987156,2.972458970204972,0
1997.75,7.43,2.21940393151554,5.410811621743261,6.090950849793297,5.357976290488198,2.8711004456633438,2.9292505592841245,0
1998.0,7.1,1.6970458830924073,5.670993534376367,6.199095022624435,4.598433800764901,3.2987747408105728,3.3941093969144465,0
1998.25,7.13,1.3767209011263937,5.980861244019131,6.176365583720078,5.921950332029469,4.0438365474471105,3.3349477617103718,0
1998.5,7.0,1.6229712858926382,5.904183535762475,6.277513646768784,5.443276744812731,4.952731531833021,3.9537588070319485,0
1998.75,6.72,1.4267990074441794,6.1530433132501505,6.944925528229984,6.494196863648449,5.523619095226184,4.231474563607973,0
1999.0,6.74,1.606922126081578,5.773003269500232,6.5956540264167085,5.980673805171044,5.89747843397479,4.659522517634285,0
1999.25,7.04,1.7283950617283939,6.320541760722342,7.447881640887699,6.5355547921676305,5.911651833101983,5.610980917308339,0
1999.5,7.55,1.9656019656019597,8.269239521230599,10.073730428299243,9.643070108186391,5.978477481068145,5.38264131078503,0
