Year,Mortgage_Rate,Consumer_Inflation_Rate,cluster
1979.75,11.3,11.879699248120312,3
1979.8333333333333,11.64,12.071535022354718,3
1979.9166666666667,12.83,12.592592592592599,3
1980.0,12.9,13.254786450662737,3
1980.0833333333333,12.88,13.868613138686126,3
1980.1666666666667,13.04,14.161849710982644,3
1980.25,15.28,14.592274678111572,3
1980.3333333333333,16.33,14.589235127478762,3
1980.4166666666667,14.26,14.425770308123242,3
1980.5,12.71,14.265927977839322,3
1980.5833333333333,12.19,13.15068493150684,3
1980.6666666666667,12.56,12.890094979647216,3
1980.75,13.2,12.768817204301076,3
1980.8333333333333,13.79,12.632978723404253,3
1980.9166666666667,14.21,12.631578947368416,3
1981.0,14.79,12.353706111833551,3
1981.0833333333333,14.9,11.794871794871797,3
1981.1666666666667,15.13,11.392405063291132,3
1981.25,15.4,10.611735330836458,3
1981.3333333333333,15.58,10.135970333745359,3
1981.4166666666667,16.4,9.79192166462668,3
1981.5,16.7,9.696969696969692,3
1981.5833333333333,16.83,10.774818401937058,3
1981.6666666666667,17.29,10.817307692307686,3
1981.75,18.16,10.96543504171632,3
1981.8333333333333,18.45,10.271546635182993,3
1981.9166666666667,17.83,9.579439252336464,3
1982.0,16.92,8.912037037037024,3
1982.0833333333333,17.4,8.25688073394495,3
1982.1666666666667,17.6,7.613636363636367,3
1982.25,17.16,6.884875846501148,3
1982.3333333333333,16.89,6.621773288439958,3
1982.4166666666667,16.68,6.911928651059096,3
1982.5,16.7,7.182320441988943,3
1982.5833333333333,16.82,6.557377049180335,3
1982.6666666666667,16.27,5.965292841648595,4
1982.75,15.43,4.940923737916236,4
1982.8333333333333,14.61,5.032119914346889,4
1982.9166666666667,13.83,4.47761194029852,4
1983.0,13.62,3.825717321997879,4
1983.0833333333333,13.25,3.7076271186440746,4
1983.1666666666667,13.04,3.484688489968324,4
1983.25,12.8,3.5902851108764455,4
1983.3333333333333,12.78,4.0000000000000036,4
