,Consumer_Inflation_Rate,Mortgage_Rate,House_Inflation_Rate_USA,House_Inflation_Rate_Mountain
Consumer_Inflation_Rate,1.0,0.17683105548485628,0.3536515430175921,0.35275563088637313
Mortgage_Rate,0.17683105548485628,1.0,-0.20513519083904302,-0.1584622477318366
House_Inflation_Rate_USA,0.3536515430175921,-0.20513519083904302,1.0,0.9002136598310817
House_Inflation_Rate_Mountain,0.35275563088637313,-0.1584622477318366,0.9002136598310817,1.0
