,Consumer_Inflation_Rate,Mortgage_Rate,House_Inflation_Rate_Colorado,House_Inflation_Rate_Denver,House_Inflation_Rate_Boulder,House_Inflation_Rate_USA,House_Inflation_Rate_Mountain
Consumer_Inflation_Rate,1.0,0.2266121855999819,0.38630827403039963,0.2967008946968523,0.37987591070133087,0.34073234597767177,0.33990426116708017
Mortgage_Rate,0.2266121855999819,1.0,0.0541342193159648,-0.000663310538644972,0.17244524021919314,-0.2102373489069965,-0.17602415724317377
House_Inflation_Rate_Colorado,0.38630827403039963,0.0541342193159648,1.0,0.9737996353354632,0.9440358532970785,0.6987399436224364,0.6974375520671744
House_Inflation_Rate_Denver,0.2967008946968523,-0.000663310538644972,0.9737996353354632,1.0,0.935878902791549,0.6678117620520158,0.6347566387295139
House_Inflation_Rate_Boulder,0.37987591070133087,0.17244524021919314,0.9440358532970785,0.935878902791549,1.0,0.5254064586590714,0.54129665207541
House_Inflation_Rate_USA,0.34073234597767177,-0.2102373489069965,0.6987399436224364,0.6678117620520158,0.5254064586590714,1.0,0.9257539085722818
House_Inflation_Rate_Mountain,0.33990426116708017,-0.17602415724317377,0.6974375520671744,0.6347566387295139,0.54129665207541,0.9257539085722818,1.0
